date,time,home,away,odds_h,odds_d,odds_a,lambda,mu,p_home,p_draw,p_away,exp_pts_home,exp_pts_away,ml_home_goals,ml_away_goals,mkt_home,mkt_draw,mkt_away
2026-09-18,20:00,Brentford,Chelsea,2.55,3.8,2.45,1.6784331937169437,1.4774406739613406,0.4126304489955378,0.26101988228547224,0.32634966871898924,1.4989112292720859,1.24006888844244,1,1,0.36874938112684424,0.24745024259827703,0.3838003762748786
2026-09-19,12:30,Tottenham,Aston Villa,2,3.5,3.7,1.2790627201803617,1.4342980643729932,0.32101482877824294,0.28665237217043643,0.39233279905132057,1.2496968585051653,1.463650769324398,1,1,0.473491773308958,0.2705667276051188,0.2559414990859232
2026-09-19,15:00,Brighton,Arsenal,5,3.9,1.67,0.9574621177779353,1.5639375125940356,0.21641655897636702,0.28371354703784474,0.499869893985788,0.9329632239669459,1.7833232289952088,1,1,0.18953525594389314,0.24299391787678612,0.5674708261793209
2026-09-19,15:00,Everton,Ipswich,1.75,3.8,4.5,2.03987414115483,0.8845578657216189,0.6298067121106476,0.2280933192637299,0.14209996862562244,2.117513455595673,0.6543932251405972,2,0,0.540711462450593,0.24901185770750991,0.21027667984189727
2026-09-19,15:00,Newcastle,Hull,1.6,4.33,5,0.9689031708346724,1.0918600031597314,0.3004458851983432,0.33554324037981287,0.36401087442184366,1.2368808959748425,1.4275758636453437,1,1,0.5918858330143802,0.2187107004210181,0.1894034665646017
2026-09-19,17:30,Nott'm Forest,Coventry,1.57,4,5.75,2.0128347084168308,0.4182581721933934,0.7455907321300128,0.19742047997933027,0.056988787890657464,2.434192676369369,0.36838684365130264,2,0,0.600404620505123,0.2356588135482608,0.1639365659466162
2026-09-20,14:00,Bournemouth,Liverpool,3.2,3.8,2.1,1.5282182306065335,1.5829170164320387,0.3558639508739596,0.26460651075463665,0.379529538371403,1.3321983633765155,1.4031951258688458,1,1,0.29709605361131797,0.2501861504095309,0.4527177959791511
2026-09-20,14:00,Leeds,Crystal Palace,1.73,3.9,4.75,1.6002978426499705,1.0460946977854475,0.48771639647239395,0.2789398104845356,0.23334379304306935,1.7420889999017175,0.9789711896137436,1,1,0.5531584526493378,0.2453754161752191,0.20146613117544301
2026-09-20,14:00,Man City,Sunderland,1.3,5.5,9,1.841598957085232,0.6925723628096866,0.6358629512968441,0.24276282686890654,0.12137422183424974,2.1503516807594387,0.6068854923716558,2,0,0.7242136064374541,0.1711777615215801,0.10460863204096561
2026-09-20,16:30,Fulham,Man United,3.5,3.8,2,1.323498656544305,1.4405742758793276,0.33134289974386905,0.2839415474448734,0.38471555281125736,1.2779702466764806,1.4380882058786455,1,1,0.27240143369175623,0.25089605734767023,0.4767025089605735
