model,xi,ridge,prior,n,log_loss,brier,log_loss_se,vs_bookmaker
Bookmaker (de-vigged closing),NA,NA,NA,750,0.993294361009669,0.594341743952192,0.017113650206288616,0
DC xi=0.0018 ridge=1 prior=0,0.0018,1,0,750,1.002379698262895,0.6005095884167244,0.01644504376847396,0.009085337253226022
DC xi=0.0018 ridge=1 prior=10,0.0018,1,10,750,1.003612543661621,0.6012112096853242,0.016365005154672745,0.010318182651952057
DC xi=0.0018 ridge=1 prior=20,0.0018,1,20,750,1.006858100106467,0.6035584646803602,0.01621821935192364,0.013563739096797978
DC xi=0.0018 ridge=1 prior=40,0.0018,1,40,750,1.0169392096639482,0.6104987275239292,0.015465584388572857,0.023644848654279293
Naive base rates,NA,NA,NA,750,1.0854846251689365,0.65770585186674,0.00946879586252188,0.09219026415926757
